統一編號,公司名稱,電話,進口資格,出口資格,查詢時間
00085833,晨星環球投資股份有限公司,0926652255,有 YES,有 YES,2025-09-30 17:30:59
00085897,崑滙股份有限公司,,有 YES,有 YES,2025-09-30 17:30:59
00085952,,,,2025-09-30 17:31:00,
00086143,,,,2025-09-30 17:31:01,
00086349,,,,2025-09-30 17:31:02,
00086468,科滙泉生技股份有限公司,02-25164545,有 YES,有 YES,2025-09-30 17:31:02
00086565,,,,2025-09-30 17:31:03,
00086621,,,,2025-09-30 17:31:04,
00086740,,,,2025-09-30 17:31:05,
00086988,,,,2025-09-30 17:31:06,
00087006,,,,2025-09-30 17:31:07,
00087023,,,,2025-09-30 17:31:08,
00087327,丸籐餐飲有限公司,,有 YES,有 YES,2025-09-30 17:31:09
00087430,,,,2025-09-30 17:31:09,
00087473,,,,2025-09-30 17:31:10,
00087683,,,,2025-09-30 17:31:13,
00087804,,,,2025-09-30 17:31:13,
00088043,,,,2025-09-30 17:31:15,
00088212,德威鑫盈有限公司,,有 YES,有 YES,2025-09-30 17:31:17
00088326,,,,2025-09-30 17:31:17,
00088374,,,,2025-09-30 17:31:18,
00088418,,,,2025-09-30 17:31:19,
00088711,,,,2025-09-30 17:31:20,
00088796,,,,2025-09-30 17:31:21,
00088917,,,,2025-09-30 17:31:23,
00089296,可力生醫股份有限公司,,有 YES,有 YES,2025-09-30 17:31:26
00089599,,,,2025-09-30 17:31:27,
00089606,,,,2025-09-30 17:31:29,
00089768,嘉冠再生科技股份有限公司,02-24223838,有 YES,有 YES,2025-09-30 17:31:31
00089789,,,,2025-09-30 17:31:33,
00090097,,,,2025-09-30 17:31:34,
00090462,,,,2025-09-30 17:31:35,
00090483,華智數位娛樂股份有限公司,,有 YES,有 YES,2025-09-30 17:31:36
00090511,爛醉娛樂股份有限公司,,有 YES,有 YES,2025-09-30 17:31:37
00090706,,,,2025-09-30 17:31:38,
00090717,完美駕馭股份有限公司,02-27913100,有 YES,有 YES,2025-09-30 17:31:38
00090815,,,,2025-09-30 17:31:39,
00090842,,,,2025-09-30 17:31:41,
00091005,,,,2025-09-30 17:31:41,
00091363,,,,2025-09-30 17:31:42,
00091407,,,,2025-09-30 17:31:43,
00091716,帟紘股份有限公司,,有 YES,有 YES,2025-09-30 17:31:44
00091743,,,,2025-09-30 17:31:45,
00092291,碩鋒國際股份有限公司,0939532595,有 YES,有 YES,2025-09-30 17:31:46
00092412,,,,2025-09-30 17:31:46,
00092623,,,,2025-09-30 17:31:47,
00092905,臺南漁產運銷股份有限公司,02-22430128#270,有 YES,有 YES,2025-09-30 17:31:48
00093008,,,,2025-09-30 17:31:49,
00093025,,,,2025-09-30 17:31:49,
00093159,,,,2025-09-30 17:31:51,
00093215,紅樹股份有限公司,04-22257373,有 YES,有 YES,2025-09-30 17:31:52
00093313,,,,2025-09-30 17:31:52,
00093432,,,,2025-09-30 17:31:53,
00093496,,,,2025-09-30 17:31:54,
00093502,喬可電子有限公司,0968680371,有 YES,有 YES,2025-09-30 17:31:55
00093989,,,,2025-09-30 17:31:55,
00094137,東諦鐘錶股份有限公司,06-2253184,有 YES,有 YES,2025-09-30 17:31:57
00094235,,,,2025-09-30 17:31:57,
00094376,海馳科技股份有限公司,,有 YES,有 YES,2025-09-30 17:31:59
00094609,,,,2025-09-30 17:31:59,
00094663,柏瑞生醫有限公司,062903269,有 YES,有 YES,2025-09-30 17:32:00
00094713,,,,2025-09-30 17:32:01,
00094848,,,,2025-09-30 17:32:02,
00094973,,,,2025-09-30 17:32:04,
00095023,,,,2025-09-30 17:32:05,
00095240,奭禾系統科技有限公司,035751811,有 YES,有 YES,2025-09-30 17:32:06
00095255,,,,2025-09-30 17:32:07,
00095327,,,,2025-09-30 17:32:09,
00095348,,,,2025-09-30 17:32:10,
00095516,,,,2025-09-30 17:32:10,
00095902,,,,2025-09-30 17:32:12,
00095966,,,,2025-09-30 17:32:13,
00096141,,,,2025-09-30 17:32:13,
00096326,,,,2025-09-30 17:32:14,
00096374,,,,2025-09-30 17:32:15,
00096439,,,,2025-09-30 17:32:16,
00096493,,,,2025-09-30 17:32:17,
00096629,,,,2025-09-30 17:32:18,
00096705,昭品國際股份有限公司,02-26277739,有 YES,有 YES,2025-09-30 17:32:19
00096825,,,,2025-09-30 17:32:21,
00097015,,,,2025-09-30 17:32:22,
00097036,,,,2025-09-30 17:32:23,
00097182,,,,2025-09-30 17:32:23,
00097471,,,,2025-09-30 17:32:25,
00097578,,,,2025-09-30 17:32:25,
00098078,,,,2025-09-30 17:32:26,
00098106,,,,2025-09-30 17:32:27,
00098154,,,,2025-09-30 17:32:29,
00098181,,,,2025-09-30 17:32:30,
00098247,,,,2025-09-30 17:32:31,
00098318,,,,2025-09-30 17:32:31,
00098350,,,,2025-09-30 17:32:32,
00098507,,,,2025-09-30 17:32:33,
00098730,谷騰堡股份有限公司,,有 YES,有 YES,2025-09-30 17:32:34
00098773,,,,2025-09-30 17:32:35,
00098788,,,,2025-09-30 17:32:36,
00098838,,,,2025-09-30 17:32:37,
00098963,,,,2025-09-30 17:32:38,
00099098,,,,2025-09-30 17:32:38,
00099169,,,,2025-09-30 17:32:39,
00099560,,,,2025-09-30 17:32:40,
00099604,,,,2025-09-30 17:32:41,
00099636,,,,2025-09-30 17:32:42,
00099647,真珠龍股份有限公司,,有 YES,有 YES,2025-09-30 17:32:42
00099695,興聖國際股份有限公司,07-7356605,有 YES,有 YES,2025-09-30 17:32:44
00099864,,,,2025-09-30 17:32:44,
00099874,,,,2025-09-30 17:32:45,
00099920,,,,2025-09-30 17:32:46,
00100089,,,,2025-09-30 17:32:47,
00100187,,,,2025-09-30 17:32:47,
00100314,台灣瑞聲元科技有限公司,0987-269458,有 YES,有 YES,2025-09-30 17:32:48
00100433,,,,2025-09-30 17:32:49,
00100594,,,,2025-09-30 17:32:50,
00101138,思源帷幕股份有限公司,02-85020626,有 YES,有 YES,2025-09-30 17:32:51
00101313,,,,2025-09-30 17:32:51,
00101398,,,,2025-09-30 17:32:52,
00101637,諒達有限公司,,有 YES,有 YES,2025-09-30 17:32:53
00102116,台灣駿河屋股份有限公司,,有 YES,有 YES,2025-09-30 17:32:54
00102220,,,,2025-09-30 17:32:56,
00102241,,,,2025-09-30 17:32:58,
00102690,,,,2025-09-30 17:32:59,
00102761,,,,2025-09-30 17:33:00,
00103017,,,,2025-09-30 17:33:00,
00103229,,,,2025-09-30 17:33:02,
00103282,,,,2025-09-30 17:33:03,
00103408,,,,2025-09-30 17:33:04,
00103467,,,,2025-09-30 17:33:05,
00103585,,,,2025-09-30 17:33:12,
00104135,,,,2025-09-30 17:33:13,
00104141,漢橋工業有限公司,04-23353009,有 YES,有 YES,2025-09-30 17:33:14
00104212,,,,2025-09-30 17:33:19,
00104402,,,,2025-09-30 17:33:20,
00104515,,,,2025-09-30 17:33:22,
00104584,生貿台灣科技有限公司,,有 YES,有 YES,2025-09-30 17:33:23
00104661,,,,2025-09-30 17:33:23,
00104677,,,,2025-09-30 17:33:25,
00104753,,,,2025-09-30 17:33:26,
00105090,,,,2025-09-30 17:33:26,
00105508,,,,2025-09-30 17:33:27,
00105541,,,,2025-09-30 17:33:29,
00105654,優合興業股份有限公司,,有 YES,有 YES,2025-09-30 17:33:30
00105795,,,,2025-09-30 17:33:31,
00105985,,,,2025-09-30 17:33:32,
00106056,,,,2025-09-30 17:33:32,
00106106,,,,2025-09-30 17:33:33,
00106149,,,,2025-09-30 17:33:34,
00106302,,,,2025-09-30 17:33:35,
00106350,,,,2025-09-30 17:33:36,
00106823,,,,2025-09-30 17:33:37,
00106838,,,,2025-09-30 17:33:37,
00106871,,,,2025-09-30 17:33:38,
00106979,,,,2025-09-30 17:33:39,
00106984,康暘建設有限公司,,有 YES,有 YES,2025-09-30 17:33:40
00107082,,,,2025-09-30 17:33:40,
00107230,,,,2025-09-30 17:33:41,
00107365,,,,2025-09-30 17:33:42,
00107822,,,,2025-09-30 17:33:42,
00107978,,,,2025-09-30 17:33:44,
00108110,,,,2025-09-30 17:33:44,
00108147,,,,2025-09-30 17:33:45,
00108272,,,,2025-09-30 17:33:46,
00108322,,,,2025-09-30 17:33:47,
00108408,,,,2025-09-30 17:33:47,
00108483,,,,2025-09-30 17:33:49,
00108532,,,,2025-09-30 17:33:50,
00108809,星鏈能源股份有限公司,0222521333,有 YES,有 YES,2025-09-30 17:33:50
00108842,,,,2025-09-30 17:33:51,
00108890,,,,2025-09-30 17:33:52,
00108913,,,,2025-09-30 17:33:53,
00109413,,,,2025-09-30 17:33:54,
00109455,,,,2025-09-30 17:33:54,
00109547,上野系統科技股份有限公司,03-6992280,有 YES,有 YES,2025-09-30 17:33:55
00109758,,,,2025-09-30 17:33:56,
00109912,安博集成股份有限公司,02-23661678,有 YES,有 YES,2025-09-30 17:33:57
00110039,,,,2025-09-30 17:33:57,
00110050,,,,2025-09-30 17:33:59,
00110170,,,,2025-09-30 17:34:00,
00110538,,,,2025-09-30 17:34:01,
00110586,,,,2025-09-30 17:34:01,
00110729,鈦境運動科技股份有限公司,02-26923636,有 YES,有 YES,2025-09-30 17:34:03
00110755,,,,2025-09-30 17:34:04,
00110853,,,,2025-09-30 17:34:05,
00110896,,,,2025-09-30 17:34:16,
00111425,,,,2025-09-30 17:34:18,
00111430,,,,2025-09-30 17:34:22,
00111641,錦裕股份有限公司,07-3800303#32,有 YES,有 YES,2025-09-30 17:34:23
00111699,,,,2025-09-30 17:34:25,
00111852,,,,2025-09-30 17:34:26,
00112206,,,,2025-09-30 17:34:27,
00112304,,,,2025-09-30 17:34:29,
00112557,金鐘資產股份有限公司,03-2631313,有 YES,有 YES,2025-09-30 17:34:30
00112579,,,,2025-09-30 17:34:31,
00112655,,,,2025-09-30 17:34:32,
00112682,,,,2025-09-30 17:34:33,
00112796,,,,2025-09-30 17:34:33,
00113394,,,,2025-09-30 17:34:34,
00113731,,,,2025-09-30 17:34:35,
00113850,,,,2025-09-30 17:34:36,
00114041,,,,2025-09-30 17:34:36,
00114128,,,,2025-09-30 17:34:37,
00114154,,,,2025-09-30 17:34:38,
00114859,,,,2025-09-30 17:34:39,
00114865,奕大投資控股股份有限公司,0958-888-139,有 YES,有 YES,2025-09-30 17:34:40
00114936,,,,2025-09-30 17:34:40,
00115013,,,,2025-09-30 17:34:41,
00115230,,,,2025-09-30 17:34:42,
00115338,,,,2025-09-30 17:34:43,
00115409,,,,2025-09-30 17:34:44,
00115745,,,,2025-09-30 17:34:45,
00115864,日鵬系統股份有限公司,,有 YES,有 YES,2025-09-30 17:34:46
00115914,,,,2025-09-30 17:34:47,
00115956,高力熱能科技股份有限公司,03-4527005,有 YES,有 YES,2025-09-30 17:34:47
00115983,,,,2025-09-30 17:34:48,
00116060,,,,2025-09-30 17:34:49,
00116097,,,,2025-09-30 17:34:50,
00116505,,,,2025-09-30 17:34:51,
00116688,,,,2025-09-30 17:34:52,
00116771,,,,2025-09-30 17:34:53,
00117005,,,,2025-09-30 17:34:54,
00117146,,,,2025-09-30 17:34:55,
00117151,原磚電子股份有限公司,062989570,有 YES,有 YES,2025-09-30 17:34:56
00117265,,,,2025-09-30 17:35:00,
00117363,鑫權投資有限公司,0929633798,有 YES,有 YES,2025-09-30 17:35:01
00117440,,,,2025-09-30 17:35:03,
00117808,,,,2025-09-30 17:35:04,
00117814,,,,2025-09-30 17:35:05,
00117835,富程貿易有限公司,02-85311035,有 YES,有 YES,2025-09-30 17:35:08
00117960,,,,2025-09-30 17:35:11,
00118068,,,,2025-09-30 17:35:17,
00118102,,,,2025-09-30 17:35:20,
00118270,,,,2025-09-30 17:35:26,
00118314,,,,2025-09-30 17:35:30,
00118320,,,,2025-09-30 17:35:34,
00118449,,,,2025-09-30 17:35:38,
00118623,,,,2025-09-30 17:35:39,
00118659,,,,2025-09-30 17:35:40,
00118784,,,,2025-09-30 17:35:41,
00118882,,,,2025-09-30 17:35:42,
00119192,,,,2025-09-30 17:35:43,
00119221,,,,2025-09-30 17:35:44,
00119453,,,,2025-09-30 17:35:45,
00119670,奇力新科技股份有限公司,02-66299999,有 YES,有 YES,2025-09-30 17:35:45
00119714,,,,2025-09-30 17:35:46,
00119876,,,,2025-09-30 17:35:47,
00120114,,,,2025-09-30 17:35:48,
00120183,,,,2025-09-30 17:35:49,
00120206,,,,2025-09-30 17:35:49,
00120281,,,,2025-09-30 17:35:50,
00120557,宜庭佳居有限公司,0916805788,有 YES,有 YES,2025-09-30 17:35:51
00120607,,,,2025-09-30 17:35:52,
00120705,,,,2025-09-30 17:35:52,
00120769,,,,2025-09-30 17:35:53,
00120938,,,,2025-09-30 17:35:54,
00121042,,,,2025-09-30 17:35:55,
00121063,,,,2025-09-30 17:35:56,
00121303,,,,2025-09-30 17:35:57,
00121325,,,,2025-09-30 17:35:57,
00121406,,,,2025-09-30 17:35:58,
00121535,台灣正能源股份有限公司,02-26683156,有 YES,有 YES,2025-09-30 17:36:00
00121606,崇輝先進股份有限公司,03-564-1224,有 YES,有 YES,2025-09-30 17:36:00
00121710,,,,2025-09-30 17:36:01,
00121774,,,,2025-09-30 17:36:01,
00122133,,,,2025-09-30 17:36:02,
00122295,,,,2025-09-30 17:36:03,
00122302,,,,2025-09-30 17:36:04,
00122339,睿玲資本管理顧問有限公司,0911204499,有 YES,有 YES,2025-09-30 17:36:05
00122751,,,,2025-09-30 17:36:07,
00122865,宥安建機科技股份有限公司,,有 YES,有 YES,2025-09-30 17:36:08
00122892,恆元股份有限公司,02-89796143,有 YES,有 YES,2025-09-30 17:36:09
00123040,,,,2025-09-30 17:36:09,
00123338,,,,2025-09-30 17:36:10,
00123554,,,,2025-09-30 17:36:11,
00123604,,,,2025-09-30 17:36:13,
00123647,,,,2025-09-30 17:36:13,
00123787,,,,2025-09-30 17:36:15,
00123962,,,,2025-09-30 17:36:16,
00124054,,,,2025-09-30 17:36:18,
00124224,盛崎股份有限公司,0958940845,有 YES,有 YES,2025-09-30 17:36:22
00124287,,,,2025-09-30 17:36:23,
00124337,台灣魁力屋國際股份有限公司,02-27369588,有 YES,有 YES,2025-09-30 17:36:24
00124408,,,,2025-09-30 17:36:25,
00124596,,,,2025-09-30 17:36:26,
00124815,高翔永續科技股份有限公司,,有 YES,有 YES,2025-09-30 17:36:27
00124836,,,,2025-09-30 17:36:30,
00124863,和遠投資股份有限公司,,有 YES,有 YES,2025-09-30 17:36:31
00124884,,,,2025-09-30 17:36:33,
00124907,,,,2025-09-30 17:36:35,
00124955,,,,2025-09-30 17:36:36,
00125125,,,,2025-09-30 17:36:38,
00125286,,,,2025-09-30 17:36:39,
00125336,,,,2025-09-30 17:36:40,
00125363,,,,2025-09-30 17:36:42,
00125461,,,,2025-09-30 17:36:43,
00126200,,,,2025-09-30 17:36:44,
00126356,,,,2025-09-30 17:36:46,
00126573,,,,2025-09-30 17:36:46,
00126671,,,,2025-09-30 17:36:47,
00126736,,,,,2025-09-30 17:36:48
00126882,,,,2025-09-30 17:36:49,
00126898,宸溢投資有限公司,03-578-8621 #682,有 YES,有 YES,2025-09-30 17:36:50
00127313,,,,2025-09-30 17:36:51,
00127329,,,,2025-09-30 17:36:52,
00127361,,,,2025-09-30 17:36:53,
00127377,,,,2025-09-30 17:36:54,
00127398,,,,2025-09-30 17:36:55,
00127480,,,,2025-09-30 17:36:55,
00127670,,,,2025-09-30 17:36:56,
00128191,,,,2025-09-30 17:36:57,
00128241,,,,2025-09-30 17:36:58,
00128410,,,,2025-09-30 17:36:59,
00128426,華訊智慧股份有限公司,,有 YES,有 YES,2025-09-30 17:37:00
00128468,二一資本顧問股份有限公司,02-27139295#36,有 YES,有 YES,2025-09-30 17:37:01
00128474,,,,2025-09-30 17:37:01,
00128501,長贊企業股份有限公司,02-26010276,有 YES,有 YES,2025-09-30 17:37:02
00128517,保拉貝爾有限公司,,有 YES,有 YES,2025-09-30 17:37:03
00128538,,,,2025-09-30 17:37:04,
00128679,,,,2025-09-30 17:37:04,
00128973,,,,2025-09-30 17:37:05,
00128988,,,,2025-09-30 17:37:06,
00129001,,,,2025-09-30 17:37:07,
00129071,昆誠投資有限公司,0939662288,有 YES,有 YES,2025-09-30 17:37:08
00129369,,,,2025-09-30 17:37:09,
00129564,,,,2025-09-30 17:37:10,
00129706,友志代夫股份有限公司,02-25592733#212,有 YES,有 YES,2025-09-30 17:37:11
00129754,,,,2025-09-30 17:37:12,
00129902,,,,2025-09-30 17:37:13,
00130008,,,,2025-09-30 17:37:14,
00130112,,,,2025-09-30 17:37:14,
00130268,,,,2025-09-30 17:37:16,
00130345,,,,2025-09-30 17:37:17,
00130540,,,,2025-09-30 17:37:18,
00130582,,,,2025-09-30 17:37:20,
00130605,,,,2025-09-30 17:37:31,
00130669,,,,2025-09-30 17:37:35,
00130703,,,,2025-09-30 17:37:36,
00130963,,,,2025-09-30 17:37:37,
00131225,,,,2025-09-30 17:37:38,
00131251,,,,2025-09-30 17:37:39,
00131436,,,,2025-09-30 17:37:40,
00131457,,,,2025-09-30 17:37:41,
00131724,明日之星娛樂股份有限公司,,有 YES,有 YES,2025-09-30 17:37:41
00131739,嘉春漁業股份有限公司,07-8410277,有 YES,有 YES,2025-09-30 17:37:42
00131745,,,,2025-09-30 17:37:45,
00131750,御麗達股份有限公司,0,有 YES,有 YES,2025-09-30 17:37:45
00131793,,,,2025-09-30 17:37:46,
00131941,沅盛國際開發股份有限公司,02 27033765,有 YES,有 YES,2025-09-30 17:37:47
00132717,,,,2025-09-30 17:37:48,
00133032,,,,2025-09-30 17:37:49,
00133069,,,,2025-09-30 17:37:50,
00133103,,,,2025-09-30 17:37:51,
00133271,,,,2025-09-30 17:37:52,
00133531,,,,2025-09-30 17:37:52,
00133650,,,,2025-09-30 17:37:53,
00133687,昱恒熙生物科技股份有限公司,,有 YES,有 YES,2025-09-30 17:37:54
00133758,,,,2025-09-30 17:37:55,
00133764,,,,2025-09-30 17:37:56,
00134068,如毅控股股份有限公司,,有 YES,有 YES,2025-09-30 17:37:56
00134291,,,,2025-09-30 17:37:57,
00134399,,,,2025-09-30 17:37:58,
00134476,,,,2025-09-30 17:37:59,
00134709,,,,2025-09-30 17:38:00,
00134779,全智能投資股份有限公司,0922441948,有 YES,有 YES,2025-09-30 17:38:01
00135051,,,,2025-09-30 17:38:01,
00135067,,,,2025-09-30 17:38:02,
00135094,,,,2025-09-30 17:38:03,
00135171,,,,2025-09-30 17:38:04,
00135539,,,,2025-09-30 17:38:05,
00135572,,,,2025-09-30 17:38:06,
00135714,,,,2025-09-30 17:38:06,
00136045,,,,2025-09-30 17:38:07,
00136087,,,,2025-09-30 17:38:09,
00136185,,,,2025-09-30 17:38:10,
00136306,,,,2025-09-30 17:38:11,
00136360,,,,2025-09-30 17:38:12,
00136501,,,,2025-09-30 17:38:12,
00136517,,,,2025-09-30 17:38:13,
00136663,傳恆綠能科技股份有限公司,03-4192688,有 YES,有 YES,2025-09-30 17:38:15
00136875,,,,2025-09-30 17:38:16,
00136946,樂生活餐飲股份有限公司,,有 YES,有 YES,2025-09-30 17:38:22
00136951,,,,2025-09-30 17:38:22,
00137109,,,,2025-09-30 17:38:23,
00137136,,,,2025-09-30 17:38:25,
00137179,通達興科技股份有限公司,,有 YES,有 YES,2025-09-30 17:38:26
00137396,,,,2025-09-30 17:38:26,
00137662,星隼光學股份有限公司,,有 YES,有 YES,2025-09-30 17:38:28
00137810,,,,2025-09-30 17:38:28,
00137939,,,,2025-09-30 17:38:30,
00138058,,,,2025-09-30 17:38:30,
00138178,,,,2025-09-30 17:38:31,
00138212,,,,2025-09-30 17:38:32,
00138487,,,,2025-09-30 17:38:32,
00138661,,,,2025-09-30 17:38:33,
00138867,休斯國際生活事業有限公司,0227485085,有 YES,有 YES,2025-09-30 17:38:34
00139205,,,,2025-09-30 17:38:34,
00139303,勝然實業股份有限公司,0919-833839,有 YES,有 YES,2025-09-30 17:38:37
00139520,,,,,2025-09-30 17:38:37
00139752,,,,2025-09-30 17:38:39,
00139893,,,,2025-09-30 17:38:39,
00140076,,,,2025-09-30 17:38:40,
00140435,,,,2025-09-30 17:38:41,
00140483,,,,2025-09-30 17:38:42,
00140603,,,,2025-09-30 17:38:42,
00140738,,,,2025-09-30 17:38:43,
00140929,,,,2025-09-30 17:38:45,
00140934,,,,2025-09-30 17:38:45,
00141286,,,,2025-09-30 17:38:46,
00141309,,,,2025-09-30 17:38:47,
00141357,,,,2025-09-30 17:38:48,
00141624,,,,2025-09-30 17:38:48,
00142089,,,,2025-09-30 17:38:49,
00142187,,,,2025-09-30 17:38:50,
00142193,,,,2025-09-30 17:38:51,
00142503,,,,2025-09-30 17:38:52,
00142519,,,,2025-09-30 17:38:52,
00142686,,,,2025-09-30 17:38:53,
00142932,,,,2025-09-30 17:38:54,
00142953,,,,2025-09-30 17:38:55,
00142969,,,,2025-09-30 17:38:55,
00143215,,,,2025-09-30 17:38:57,
00143313,,,,2025-09-30 17:38:58,
00143355,,,,,2025-09-30 17:39:41
00143361,,,,,2025-09-30 17:39:59
00143539,,,,,2025-09-30 17:40:17
00143550,,,,,2025-09-30 17:40:35
00143783,,,,,2025-09-30 17:40:53
00143812,,,,,2025-09-30 17:41:11
00143881,,,,,2025-09-30 17:41:29
00143995,,,,,2025-09-30 17:41:47
00144072,,,,,2025-09-30 17:42:05
00144137,,,,,2025-09-30 17:42:23
00144523,,,,,2025-09-30 17:42:41
00144559,,,,,2025-09-30 17:42:59
00144571,,,,,2025-09-30 17:43:17
00144880,,,,,2025-09-30 17:43:35
00145038,,,,,2025-09-30 17:43:53
00145109,,,,,2025-09-30 17:44:11
00145136,,,,,2025-09-30 17:44:29
00145229,,,,,2025-09-30 17:44:47
00145620,,,,,2025-09-30 17:45:06
00145733,,,,,2025-09-30 17:45:24
00145889,,,,,2025-09-30 17:45:42
00145976,,,,,2025-09-30 17:46:00
00146199,,,,,2025-09-30 17:46:18
00146228,,,,,2025-09-30 17:46:36
00146389,,,,,2025-09-30 17:46:54
00146521,,,,,2025-09-30 17:47:12
00146640,,,,,2025-09-30 17:47:30
00146711,,,,,2025-09-30 17:47:48
00146796,,,,,2025-09-30 17:48:06
00146877,,,,,2025-09-30 17:48:24
00146917,,,,,2025-09-30 17:48:42
00146971,,,,,2025-09-30 17:49:00
00147129,,,,,2025-09-30 18:00:43
00147423,,,,,2025-09-30 18:01:01
00147535,,,,,2025-09-30 18:01:19
00147599,,,,,2025-09-30 18:01:37
00147606,,,,,2025-09-30 18:01:55
00147789,,,,,2025-09-30 18:02:13
00147887,,,,,2025-09-30 18:02:31
00148247,,,,,2025-09-30 18:02:49
00148295,,,,,2025-09-30 18:03:07
00148302,,,,,2025-09-30 18:03:25
00148324,,,,,2025-09-30 18:03:43
00148669,,,,,2025-09-30 18:04:01
00148823,,,,,2025-09-30 18:04:19
00148990,,,,,2025-09-30 18:04:37
00149098,,,,,2025-09-30 18:04:55
00149506,,,,,2025-09-30 18:05:13
00149512,,,,,2025-09-30 18:05:31
00149626,,,,,2025-09-30 18:05:49
00149702,,,,,2025-09-30 18:06:07
00149745,,,,,2025-09-30 18:06:25
00149793,,,,,2025-09-30 18:06:43
00149800,,,,,2025-09-30 18:07:01
00150019,,,,,2025-09-30 18:07:19
00150025,,,,,2025-09-30 18:07:37
00150088,,,,,2025-09-30 18:07:55
00150117,,,,,2025-09-30 18:08:13
00150405,,,,,2025-09-30 18:08:31
00150411,,,,,2025-09-30 18:08:49
00150637,,,,,2025-09-30 18:09:07
00151191,,,,,2025-09-30 18:09:25
00151495,,,,,2025-09-30 18:09:43
00151621,,,,,2025-09-30 18:10:01
00151951,,,,,2025-09-30 18:10:19
00152157,,,,,2025-09-30 18:10:37
00152255,,,,,2025-09-30 18:10:55
00152327,,,,,2025-10-01 09:08:18
00152516,,,,,2025-10-01 09:08:37
00152939,,,,,2025-10-01 09:08:58
00152950,,,,,2025-10-01 09:09:16
00152987,,,,,2025-10-01 09:09:34
00153064,,,,,2025-10-01 09:09:52
00153156,,,,,2025-10-01 09:10:10
00153228,,,,,2025-10-01 09:10:28
00153260,,,,,2025-10-01 09:10:46
00153389,,,,,2025-10-01 09:11:04
00153607,,,,,2025-10-01 09:11:22
00153613,,,,,2025-10-01 09:11:40
00153661,,,,,2025-10-01 09:11:59
00153796,,,,,2025-10-01 09:12:17
00153867,,,,,2025-10-01 09:12:35
00153992,,,,,2025-10-01 09:12:53
00154129,,,,,2025-10-01 09:13:11
00154198,,,,,2025-10-01 09:13:32
00154248,,,,,2025-10-01 09:13:51
00154508,,,,,2025-10-01 09:14:09
00154599,,,,,2025-10-01 09:14:27
00154768,,,,,2025-10-01 09:14:45
00154839,,,,,2025-10-01 09:15:04
00154991,,,,,2025-10-01 09:15:22
00155014,,,,,2025-10-01 09:15:40
00155128,,,,,2025-10-01 09:15:58
00155133,,,,,2025-10-01 09:16:16
00155231,,,,,2025-10-01 09:16:34
00155491,,,,,2025-10-01 09:16:52
00155513,,,,,2025-10-01 09:17:11
00155577,,,,,2025-10-01 09:17:29
00155653,,,,,2025-10-01 09:17:47
00155942,,,,,2025-10-01 09:18:05
00156061,,,,,2025-10-01 09:18:23
00156317,,,,,2025-10-01 09:18:41
00156457,,,,,2025-10-01 09:18:59
00156560,,,,,2025-10-01 09:19:17
00156793,,,,,2025-10-01 09:19:36
00156914,,,,,2025-10-01 09:19:54
00156941,,,,,2025-10-01 09:20:12
